timestamp,model,model_key,embedding,variant,rule,seed,id_acc,ood_acc,gqr_score,id_val_acc,aux_val_reject,tau,avg_latency_s,train_time_s,n_train,dataset_acc,hyperparameters,bg
20260819_114242,SVM,svm,baai,oe4,argmax,22,0.9948,0.8728,0.9298,0.999,0.9698,,0.009066,56.0,36480,"{""jigsaw"": 0.7001, ""olid"": 0.9488, ""hate_xplain"": 0.9542, ""hate_speech_slovak"": 0.8373, ""dkhate"": 0.9787, ""web_questions"": 0.9793, ""ml_questions"": 0.7109}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_114242,SVM,svm,baai,oe4,tau,22,0.9819,0.962,0.9719,0.999,0.9896,0.07016,0.009066,56.0,36480,"{""jigsaw"": 0.8867, ""olid"": 0.9907, ""hate_xplain"": 0.9911, ""hate_speech_slovak"": 0.9906, ""dkhate"": 0.9878, ""web_questions"": 0.9966, ""ml_questions"": 0.8906}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_114510,SVM,svm,mini,oe4,argmax,22,0.9908,0.9174,0.9527,0.9965,0.9604,,0.004424,122.1,36480,"{""jigsaw"": 0.8911, ""olid"": 0.9209, ""hate_xplain"": 0.9594, ""hate_speech_slovak"": 0.7935, ""dkhate"": 0.9848, ""web_questions"": 0.9739, ""ml_questions"": 0.8984}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_114510,SVM,svm,mini,oe4,tau,22,0.9804,0.971,0.9757,0.9965,0.9797,0.13222,0.004424,122.1,36480,"{""jigsaw"": 0.9524, ""olid"": 0.964, ""hate_xplain"": 0.9857, ""hate_speech_slovak"": 0.9718, ""dkhate"": 0.9939, ""web_questions"": 0.9916, ""ml_questions"": 0.9375}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_115500,SVM,svm,tf_idf,oe4,argmax,22,0.9842,0.8709,0.9241,0.9938,0.9599,,0.002812,526.5,36480,"{""jigsaw"": 0.6559, ""olid"": 0.9233, ""hate_xplain"": 0.7646, ""hate_speech_slovak"": 0.9614, ""dkhate"": 0.9909, ""web_questions"": 0.9567, ""ml_questions"": 0.8438}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_115500,SVM,svm,tf_idf,oe4,tau,22,0.975,0.9154,0.9443,0.9938,0.9745,0.21405,0.002812,526.5,36480,"{""jigsaw"": 0.7495, ""olid"": 0.964, ""hate_xplain"": 0.8494, ""hate_speech_slovak"": 0.9739, ""dkhate"": 0.9909, ""web_questions"": 0.9739, ""ml_questions"": 0.9062}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_115526,SVM,svm,baai,ctrl3,argmax,22,0.9987,0.0,0.0,0.9994,,,0.006191,21.6,28800,"{""jigsaw"": 0.0, ""olid"": 0.0, ""hate_xplain"": 0.0, ""hate_speech_slovak"": 0.0, ""dkhate"": 0.0, ""web_questions"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_115526,SVM,svm,baai,ctrl3,msp,22,0.9772,0.7912,0.8744,0.9994,,0.99472,0.006191,21.6,28800,"{""jigsaw"": 0.8559, ""olid"": 0.8709, ""hate_xplain"": 0.9243, ""hate_speech_slovak"": 0.9301, ""dkhate"": 0.9574, ""web_questions"": 0.8666, ""ml_questions"": 0.1328}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_115630,SVM,svm,mini,ctrl3,argmax,22,0.9956,0.0,0.0,0.9961,,,0.00384,53.6,28800,"{""jigsaw"": 0.0, ""olid"": 0.0, ""hate_xplain"": 0.0, ""hate_speech_slovak"": 0.0, ""dkhate"": 0.0, ""web_questions"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
20260819_115630,SVM,svm,mini,ctrl3,msp,22,0.9763,0.7166,0.8265,0.9961,,0.95225,0.00384,53.6,28800,"{""jigsaw"": 0.7642, ""olid"": 0.736, ""hate_xplain"": 0.7914, ""hate_speech_slovak"": 0.8071, ""dkhate"": 0.9453, ""web_questions"": 0.5581, ""ml_questions"": 0.4141}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 9600, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": false}",v1
