timestamp,model,model_key,embedding,variant,rule,seed,id_acc,ood_acc,gqr_score,id_val_acc,aux_val_reject,tau,avg_latency_s,train_time_s,n_train,dataset_acc,hyperparameters
20260819_112851,XGBoost,xgb,baai,oe4,argmax,22,0.9433,0.9027,0.9225,0.9767,0.8,,0.000248,0.5,400,"{""hate_xplain"": 0.7447, ""jigsaw"": 0.6795, ""web_questions"": 0.9444, ""olid"": 0.95, ""dkhate"": 1.0, ""hate_speech_slovak"": 1.0, ""ml_questions"": 1.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_112851,XGBoost,xgb,baai,oe4,tau,22,0.9567,0.8759,0.9145,0.9767,0.75,0.5664,0.000248,0.5,400,"{""hate_xplain"": 0.7376, ""jigsaw"": 0.5769, ""web_questions"": 0.9167, ""olid"": 0.9, ""dkhate"": 1.0, ""hate_speech_slovak"": 1.0, ""ml_questions"": 1.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_112852,XGBoost,xgb,mini,oe4,argmax,22,0.9467,0.6892,0.7977,0.9833,0.7,,0.000249,0.6,400,"{""hate_xplain"": 0.7305, ""jigsaw"": 0.8077, ""web_questions"": 0.9722, ""olid"": 0.8, ""dkhate"": 0.8, ""hate_speech_slovak"": 0.7143, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_112852,XGBoost,xgb,mini,oe4,tau,22,0.9533,0.6163,0.7486,0.9833,0.6,0.56,0.000249,0.6,400,"{""hate_xplain"": 0.6312, ""jigsaw"": 0.7179, ""web_questions"": 0.9722, ""olid"": 0.65, ""dkhate"": 0.7, ""hate_speech_slovak"": 0.6429, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_112853,XGBoost,xgb,tf_idf,oe4,argmax,22,0.7967,0.4315,0.5598,0.91,0.675,,0.000317,0.7,400,"{""hate_xplain"": 0.4965, ""jigsaw"": 0.4359, ""web_questions"": 0.9167, ""olid"": 0.0, ""dkhate"": 0.1, ""hate_speech_slovak"": 0.0714, ""ml_questions"": 1.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_112853,XGBoost,xgb,tf_idf,oe4,tau,22,0.87,0.0887,0.1611,0.91,0.3,0.94396,0.000317,0.7,400,"{""hate_xplain"": 0.1277, ""jigsaw"": 0.0769, ""web_questions"": 0.4167, ""olid"": 0.0, ""dkhate"": 0.0, ""hate_speech_slovak"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_112900,XGBoost,xgb,baai,ctrl3,argmax,22,0.9633,0.0,0.0,0.98,,,0.000236,7.1,300,"{""hate_xplain"": 0.0, ""jigsaw"": 0.0, ""web_questions"": 0.0, ""olid"": 0.0, ""dkhate"": 0.0, ""hate_speech_slovak"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_112900,XGBoost,xgb,baai,ctrl3,msp,22,0.94,0.147,0.2542,0.98,,0.57654,0.000236,7.1,300,"{""hate_xplain"": 0.1277, ""jigsaw"": 0.1282, ""web_questions"": 0.1944, ""olid"": 0.15, ""dkhate"": 0.0, ""hate_speech_slovak"": 0.4286, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_112905,XGBoost,xgb,mini,ctrl3,argmax,22,0.9733,0.0,0.0,0.9833,,,0.000241,4.7,300,"{""hate_xplain"": 0.0, ""jigsaw"": 0.0, ""web_questions"": 0.0, ""olid"": 0.0, ""dkhate"": 0.0, ""hate_speech_slovak"": 0.0, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
20260819_112905,XGBoost,xgb,mini,ctrl3,msp,22,0.9533,0.141,0.2456,0.9833,,0.71565,0.000241,4.7,300,"{""hate_xplain"": 0.1773, ""jigsaw"": 0.1667, ""web_questions"": 0.0, ""olid"": 0.3, ""dkhate"": 0.2, ""hate_speech_slovak"": 0.1429, ""ml_questions"": 0.0}","{""seed"": 22, ""alpha"": 0.02, ""n_aux"": 140, ""epochs"": 3, ""mlp_epochs"": 30, ""batch_size"": 16, ""max_len"": 256, ""lr"": 2e-05, ""ft_autotune"": 300, ""dry_run"": true}"
